NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
História (Licenciatura) (13449),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.506666666666667,75,8
Ciências Biológicas (Licenciatura) (1152882),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.5,32,7
Ciências Biológicas (Licenciatura) (1152882),UFCG,PB,60,Infraestrutura,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,5.5,32,1
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.5,52,3
Geografia (Licenciatura) (120777),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.5,62,4
Geografia (Licenciatura) (13407),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.5,42,9
Pedagogia (Licenciatura) (13410),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.494252873563219,87,5
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.488888888888889,45,2
Letras-Português (Licenciatura) (1158116),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.483870967741935,31,7
Química (Licenciatura) (99808),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.48,25,4
Química (Licenciatura) (99808),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.48,25,2
Química (Licenciatura) (1152881),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.478260869565218,23,4
Letras-Português (Licenciatura) (1160083),UFCG,PB,39,Ensino,As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.4772727272727275,44,2
Letras-Português (Licenciatura) (1160083),UFCG,PB,55,"Professores, carga e avaliação",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,5.4772727272727275,44,2
Letras-Português (Licenciatura) (1160083),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.4772727272727275,44,4
Pedagogia (Licenciatura) (13410),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.4772727272727275,88,5
Engenharia Florestal (13456),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.476190476190476,21,10
Engenharia Florestal (13456),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.476190476190476,21,8
Engenharia Florestal (13456),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.476190476190476,21,5
